Ticker,Date,Close,Resistance,Resistance_Distance_%,Close_Position,Daily_Range_%,Range_Ratio,Volume_Ratio,Volume_Surge_10,Momentum_5d_%,Momentum_10d_%,Momentum_20d_%,MA_Ratio,Distance_MA10_%,Distance_MA30_%,ATR_Pct,Volatility_10d,Price_Range_10d_%,RSI_14,Breakout_Pct,Label,Days_Above_5d,Avg_Close_5d,Return_5d_%,Return_30d_%,Max_Gain_30d_%,Max_Drawdown_30d_%,Pct_Days_Above_30d,Continued_Up_30d
AAPL,2012-02-28,16.0139,15.8072,1.31,1.0,1.79,0.81,1.25,0.91,3.99,6.53,18.19,1.087,4.85,13.99,2.22,0.0134,7.82,85.43,1.31,breakout,5,16.1243,-0.96,16.96,18.83,-0.96,100.0,True
AAPL,2012-03-13,16.9917,16.5101,2.92,0.994,2.19,1.08,1.22,1.07,7.14,6.11,13.03,1.067,5.19,12.24,1.98,0.0127,6.3,82.43,2.92,breakout,5,17.753,6.66,7.38,11.99,-1.38,100.0,True
AAPL,2012-03-14,17.6341,16.994,3.77,0.734,3.28,1.58,2.46,2.18,11.1,8.69,15.73,1.065,8.51,15.61,2.13,0.0143,8.81,85.52,3.77,breakout,5,17.8303,2.19,3.07,7.91,-4.97,96.7,True
AAPL,2012-04-03,18.8227,18.5873,1.27,0.702,1.54,0.82,1.23,1.32,2.42,3.86,18.68,1.072,3.66,11.1,2.02,0.015,4.76,69.15,1.27,breakout,5,18.8363,-0.5,-13.23,1.1,-13.23,20.0,False
AAPL,2012-07-05,18.2431,17.9458,1.66,0.7,2.41,1.72,1.21,1.56,6.17,4.13,6.73,1.011,5.02,6.13,1.58,0.0139,5.64,71.0,1.66,breakout,4,18.1331,-1.81,4.78,4.78,-5.75,83.3,True
AAPL,2012-08-20,19.9798,19.4704,2.62,1.0,2.29,2.14,1.64,2.17,5.58,7.3,10.63,1.03,6.0,9.23,1.32,0.0072,5.35,89.61,2.62,breakout,5,19.9841,1.58,-0.58,5.56,-1.37,100.0,False
AAPL,2013-08-13,15.0561,14.4172,4.43,0.809,5.44,3.39,2.99,2.99,5.92,8.71,14.55,1.053,6.74,12.41,1.86,0.0128,4.6,81.93,4.43,breakout,5,15.4233,2.35,-1.64,3.71,-8.06,80.0,False
AAPL,2014-04-24,17.6681,17.084,3.42,0.759,1.63,1.15,3.14,3.08,9.39,7.06,5.19,0.988,8.26,6.96,1.86,0.01,3.68,64.14,3.42,breakout,5,18.2972,4.18,14.34,14.65,0.73,100.0,True
AAPL,2014-04-28,18.4872,17.7994,3.86,0.928,3.91,2.82,2.53,2.11,11.85,14.33,10.66,1.0,11.45,11.41,1.93,0.0269,10.21,81.13,3.86,breakout,5,18.4684,1.16,11.67,11.67,-0.89,100.0,True
AAPL,2014-08-19,22.1302,21.8749,1.17,0.89,1.35,1.03,1.5,1.69,4.75,6.21,6.66,1.005,4.48,5.04,1.45,0.0065,6.06,63.87,1.17,breakout,5,22.2293,0.36,-1.34,2.76,-2.65,76.7,False
AAPL,2015-02-11,27.7187,27.1127,2.23,0.983,1.94,1.02,1.24,1.07,4.86,8.73,13.75,1.054,5.29,10.98,2.3,0.0204,5.84,74.57,2.23,breakout,5,28.3464,2.86,-0.51,6.5,-2.11,100.0,False
AAPL,2015-04-27,29.4433,28.995,1.55,0.758,1.49,1.07,2.33,2.56,3.96,4.57,7.63,1.009,4.13,5.02,1.42,0.0102,4.65,72.9,1.55,fakeout,0,28.5,-2.98,-3.54,0.33,-5.76,26.7,False
AAPL,2016-09-14,25.5602,25.208,1.4,0.716,3.96,2.61,3.61,2.89,3.15,5.44,2.18,0.991,4.98,4.08,1.83,0.0166,5.6,60.21,1.4,breakout,5,26.1246,1.59,3.42,5.8,0.37,100.0,True
AAPL,2016-09-15,26.4292,25.8483,2.25,0.929,1.94,1.06,2.7,1.91,9.52,8.93,5.81,0.994,7.97,7.36,1.93,0.0194,9.09,68.47,2.25,breakout,5,26.0811,-0.82,-0.94,2.32,-2.93,83.3,False
AAPL,2017-03-01,32.2714,31.7381,1.68,0.859,1.82,2.16,1.22,1.48,1.95,3.53,15.7,1.059,2.6,8.64,0.96,0.0047,3.03,90.0,1.68,breakout,5,32.1629,-0.57,1.44,3.56,-0.79,100.0,True
AAPL,2017-05-08,35.3233,34.393,2.71,0.852,3.05,2.94,2.1,1.83,4.39,6.52,6.75,1.014,5.09,6.54,1.28,0.0089,3.79,84.47,2.71,breakout,5,35.7792,2.18,-4.84,2.44,-6.64,76.7,False
AAPL,2017-05-12,36.1854,35.755,1.2,0.817,1.12,0.8,1.34,0.96,5.23,9.12,11.13,1.03,4.84,8.0,1.33,0.011,7.41,85.41,1.2,fakeout,2,35.5605,-1.95,-6.59,-0.26,-8.86,20.0,False
AAPL,2017-10-27,37.9449,37.4609,1.29,0.888,3.01,2.86,1.73,2.02,4.35,3.86,5.79,1.011,3.43,4.58,1.43,0.0109,3.59,69.14,1.29,breakout,5,39.2486,5.8,6.28,8.09,2.25,100.0,True
AAPL,2018-05-04,43.1097,41.9629,2.73,0.931,3.31,1.41,1.59,1.32,13.25,10.93,9.18,0.984,9.95,8.17,2.45,0.0231,9.31,59.44,2.73,breakout,5,43.9904,2.98,3.07,5.93,0.72,100.0,True
AAPL,2018-08-01,47.4356,46.1315,2.83,0.942,2.21,1.58,3.27,3.2,3.43,5.83,9.56,1.017,5.03,6.79,1.58,0.0079,3.42,71.71,2.83,breakout,5,48.9098,2.85,12.76,13.73,2.78,100.0,True
AAPL,2018-08-02,48.8222,47.4969,2.79,0.877,3.87,2.55,2.85,2.37,6.79,8.08,11.86,1.02,7.48,9.61,1.78,0.0202,6.12,77.04,2.79,breakout,5,48.98,0.72,8.31,10.5,-0.13,100.0,True
AAPL,2018-08-17,51.4007,50.5101,1.76,0.923,2.2,1.72,1.45,1.37,4.84,4.98,14.05,1.057,4.29,10.23,1.81,0.0064,4.6,92.31,1.76,breakout,5,50.8952,-0.65,4.45,4.95,-1.17,100.0,True
AAPL,2019-03-21,46.4469,45.1136,2.96,0.81,3.34,1.96,2.01,1.73,6.18,13.1,14.05,1.036,7.22,11.06,1.83,0.0127,10.25,83.76,2.96,fakeout,1,44.9384,-3.27,8.54,8.54,-4.25,86.7,True
AAPL,2019-10-11,56.6678,55.2835,2.5,0.732,2.26,1.27,1.52,1.44,4.05,7.95,7.98,1.023,5.32,7.73,2.02,0.016,6.48,71.56,2.5,breakout,5,56.4854,0.08,11.16,13.42,-0.78,100.0,True
AAPL,2019-11-01,61.3723,59.9161,2.43,0.984,2.65,1.47,1.41,1.53,3.75,8.21,12.69,1.051,5.08,10.43,1.71,0.0129,6.04,78.0,2.43,breakout,5,62.0392,1.99,9.73,9.73,0.51,100.0,True
AAPL,2019-12-16,67.3412,66.2439,1.66,0.756,1.36,0.91,1.36,1.25,4.85,5.94,5.31,1.013,4.64,5.98,1.65,0.013,6.79,66.06,1.66,breakout,5,67.5486,1.48,15.73,15.89,-0.15,100.0,True
AAPL,2020-01-02,72.2715,70.7364,2.17,0.954,1.8,1.27,1.29,1.1,5.66,7.11,15.76,1.045,5.28,9.98,1.53,0.0077,5.13,95.79,2.17,breakout,5,72.5935,3.09,8.45,9.2,-0.97,100.0,True
AAPL,2020-01-09,74.5045,73.2557,1.7,0.811,1.37,0.77,1.53,1.45,3.09,8.92,15.33,1.056,5.02,10.95,1.67,0.0106,6.95,87.43,1.7,breakout,5,75.39,1.81,-3.47,5.93,-3.47,96.7,False
AAPL,2020-06-10,85.3338,83.5852,2.09,0.778,2.46,1.24,1.26,1.46,8.53,10.92,13.3,1.044,8.37,13.15,1.89,0.0127,9.22,84.36,2.09,fakeout,2,83.2616,-0.35,5.25,11.5,-4.8,90.0,True
AAPL,2020-07-31,102.7952,96.6958,6.31,0.972,5.26,2.14,2.7,3.04,14.73,10.31,16.73,1.02,11.42,13.68,2.91,0.0213,9.51,68.77,6.31,breakout,5,107.1641,4.76,8.76,26.5,2.52,100.0,True
